staff_id,body_name
Byaruhanga Isamel,IEEE
Akanyoreka Smith,ACM
Michael Johnson,ISTE
Emily Davidson,National Engineers Society
David Wilson,Medical Association
Alice Williams,Mathematical Society
Linda Taylor,Engineering Institute
Mugabi Praise,Physics Association
Maria Nabwire,Nursing Council
Peter Okello,Chartered Accountants
Sarah Kamani,Teachers Union
David Tumusiime,Biologists Association
Grace Achan,Agricultural Society
Michael Mwangi,Computer Society
Linda Namatovu,Development Network
Mugabi Praise,Accounting Body
Byaruhanga Isamel,Technology Alliance
