degree_id,staff_name,degree_name,degree_classification
1,Byaruhanga Isamel,Bachelor of Science in Software Engineering,First Class
2,Akanyoreka Smith,Bachelor of Science in Information Technology,Second Class Upper
3,Michael Johnson,Bachelor of Science in Computer Science,Second Class Lower
4,Emily Davidson,Bachelor of Engineering in Telecommunication,First Class
5,David Wilson,Bachelor of Medicine,First Class
6,Alice Williams,Bachelor of Science in Mathematics,Second Class Upper
7,Linda Taylor,Bachelor of Engineering in Civil,First Class
8,Mugabi Praise,Bachelor of Science in Physics,Second Class Upper
9,Maria Nabwire,Bachelor of Nursing,First Class
10,Peter Okello,Bachelor of Business Administration,Second Class Lower
11,Sarah Kamani,Bachelor of Arts in Education,Second Class Upper
12,David Tumusiime,Bachelor of Science in Biology,First Class
13,Grace Achan,Bachelor of Agricultural Science,Second Class Upper
14,Michael Mwangi,Bachelor of Computer Engineering,First Class
15,Linda Namatovu,Bachelor of Development Studies,Second Class Lower
16,Akanjuna Joel,Bachelor of Laws,First Class
17,Akambamu Mathias,Bachelor of Pharmacy,Second Class Upper
18,Mugabi Praise,Bachelor of Accounting,First Class
19,Mukama Martin,Bachelor of Economics,Second Class Upper
20,Byaruhanga Isamel,Master of Science in Computer Science,
