innovation_id,staff_id,innovation_type,innovation_date
1,Kahindo Smith,Product,2022-11-21 03:47:27.000000
2,Nyamwange Smith,Patent,2022-12-01 12:12:58.000000
3,Nyamwange Smith,Copyright,2023-03-08 01:06:22.000000
4,Tiberwa Green,Trademark,2021-09-12 05:17:14.000000
5,Kato Williams,Trademark,2022-06-10 03:10:28.000000
6,Kiberu Taylor,Utility Model,2024-05-14 10:17:20.000000
7,Bashir Green,Trademark,2022-12-02 15:45:41.000000
8,Rugumayo Wilson,Product,2024-02-09 12:16:50.000000
9,Kireka Clark,Trademark,2021-04-10 04:24:46.000000
10,Rugumayo Harrison,Product,2023-03-25 15:34:55.000000
