staff_id,first_name,last_name,role_id,department_id,years_of_experience,total_score
00,Kabonesa,Anderson,Professor,Department of Software Engineering,40,64.81
01,Ainomugisha,Johnson,Professor,Department of Software Engineering,8,72.16
02,Abwooli,Garcia,Associate Professor,Department of Software Engineering,17,87.55
03,Akanyoreka,Garcia,Associate Professor,Department of Software Engineering,9,91.33
04,Tumwijuke,Smith,Senior Lecturer,Department of Software Engineering,31,91.06
05,Busingye,Williams,Senior Lecturer,Department of Software Engineering,24,88.18
06,Busingye,Wilson,Lecturer,Department of Software Engineering,39,85.23
07,Tibendekezo,Williams,Lecturer,Department of Software Engineering,9,97.89
08,Kugonza,Anderson,Assistant Lecturer,Department of Software Engineering,7,86.29
09,Ainomugisha,Williams,Assistant Lecturer,Department of Software Engineering,21,85.61
10,Akanyoreka,Martinez,Teaching Assistant,Department of Software Engineering,37,63.02
11,Tumwijuke,Miller,Teaching Assistant,Department of Software Engineering,24,47.67
12,Mutanoga,Rodriguez,Professor,Department of Computer Science,31,54.48
13,Tumwijuke,Williams,Professor,Department of Computer Science,4,73.14
14,Kugonza,Jones,Associate Professor,Department of Computer Science,3,45.5
15,Kabonesa,Davis,Associate Professor,Department of Computer Science,25,43.96
16,Tumwijuke,Rodriguez,Senior Lecturer,Department of Computer Science,17,62.96
17,Ainomugisha,Anderson,Senior Lecturer,Department of Computer Science,6,76.74
18,Tumwijuke,Miller,Lecturer,Department of Computer Science,20,63.95
19,Kabonesa,Martinez,Lecturer,Department of Computer Science,10,95.21
20,Tumwijuke,Rodriguez,Assistant Lecturer,Department of Computer Science,6,60.41
21,Ainomugisha,Davis,Assistant Lecturer,Department of Computer Science,30,51.72
22,Busingye,Rodriguez,Teaching Assistant,Department of Computer Science,16,54.2
23,Kamaani,Brown,Teaching Assistant,Department of Computer Science,14,48.47
24,Tibendekezo,Jones,Professor,Department of Information Technology,13,83.82
25,Abwooli,Brown,Professor,Department of Information Technology,28,80.96
26,Kugonza,Martinez,Associate Professor,Department of Information Technology,1,80.47
27,Tumwijuke,Martinez,Associate Professor,Department of Information Technology,4,41.99
28,Ainomugisha,Smith,Senior Lecturer,Department of Information Technology,29,41.25
29,Tumwijuke,Johnson,Senior Lecturer,Department of Information Technology,15,91.66
30,Abwooli,Jones,Lecturer,Department of Information Technology,11,82.44
31,Akanyoreka,Smith,Lecturer,Department of Information Technology,39,79.37
32,Ainomugisha,Jones,Assistant Lecturer,Department of Information Technology,26,79.07
33,Mutanoga,Miller,Assistant Lecturer,Department of Information Technology,17,83.26
34,Abwooli,Williams,Teaching Assistant,Department of Information Technology,9,60.13
35,Ategyeka,Wilson,Teaching Assistant,Department of Information Technology,10,97.34
36,Ategyeka,Smith,Professor,Department of Pharmarcy,23,58.74
37,Kugonza,Jones,Professor,Department of Pharmarcy,29,80.5
38,Kamaani,Miller,Associate Professor,Department of Pharmarcy,7,41.64
39,Tibendekezo,Rodriguez,Associate Professor,Department of Pharmarcy,40,51.4
40,Ategyeka,Garcia,Senior Lecturer,Department of Pharmarcy,16,43.24
41,Kugonza,Martinez,Senior Lecturer,Department of Pharmarcy,4,65.31
42,Ninsiima,Brown,Lecturer,Department of Pharmarcy,16,54.77
43,Akanyoreka,Anderson,Lecturer,Department of Pharmarcy,15,48.08
